#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 05 15 50 158  9.6 11.4  2.88 12.90  6.80 266  996.7  11.1  10.7 999.0 99.0 99.00
2019 01 05 16 50 146 11.1 13.9  3.04 11.43  7.06 266  996.1  10.6  10.6 999.0 99.0 99.00
2019 01 05 17 50 149 13.0 15.8  2.93 12.90  6.76 293  995.2   9.6  10.6 999.0 99.0 99.00
2019 01 05 18 50 143 12.9 15.9  3.30 12.12  6.91 287  994.0   9.2  10.6 999.0 99.0 99.00
2019 01 05 19 50 140 12.4 15.1  3.53 12.12  6.82 272  992.3   9.5  10.6 999.0 99.0 99.00
2019 01 05 20 50 146 12.3 15.3  3.16 12.12  6.42 310  991.1   9.7  10.6 999.0 99.0 99.00
2019 01 05 21 50 149 11.6 14.3  3.66  7.69  6.75 200  989.6  10.0  10.6 999.0 99.0 99.00
2019 01 05 22 50 149 12.0 14.7  3.86 11.43  6.80 279  988.3  10.5  10.6 999.0 99.0 99.00
2019 01 05 23 50 151 12.0 15.1  4.30 10.00  7.58 215  987.4  10.6  10.6 999.0 99.0 99.00
2019 01 06 00 50 158  7.9  9.4  3.84 10.81  7.22 205  986.3  10.0  10.7 999.0 99.0 99.00
2019 01 06 01 50 128 10.7 13.5  3.81 11.43  7.56 225  985.2   9.9  10.7 999.0 99.0 99.00
2019 01 06 02 50 147 11.0 13.9  4.07 11.43  7.75 216  984.8  10.3  10.6 999.0 99.0 99.00
2019 01 06 03 50 299 13.5 16.6  3.87 10.81  7.46 199  985.2   7.8  10.6 999.0 99.0 99.00
2019 01 06 04 50 301 14.7 18.2  3.57 10.81  6.87 225  986.7   7.1  10.6 999.0 99.0 99.00
2019 01 06 05 50 291 13.4 16.7  4.14 10.81  7.32 215  988.9   7.3  10.6 999.0 99.0 99.00
2019 01 06 06 50 291 12.4 17.6  4.32 10.00  7.26 260  991.2   8.1  10.6 999.0 99.0 99.00
2019 01 06 07 50 268 12.9 15.6  3.98  9.09  7.01 277  993.4   8.6  10.5 999.0 99.0 99.00
2019 01 06 08 50 261 13.7 16.5  3.65 10.00  6.86 236  995.3   8.7  10.5 999.0 99.0 99.00
2019 01 06 09 50 254 11.0 13.4  3.78  9.09  7.28 269  996.9   9.0  10.5 999.0 99.0 99.00
2019 01 06 10 50 259 10.6 13.8  3.97 10.00  7.38 265  998.2   9.0  10.5 999.0 99.0 99.00
2019 01 06 11 50 248  9.1 11.5  3.94  9.09  7.61 254  998.8   9.0  10.5 999.0 99.0 99.00
2019 01 06 12 50 236  6.4  9.8  4.18 10.00  7.77 240  999.2   8.4  10.6 999.0 99.0 99.00
2019 01 06 13 50 238  7.0  8.8  3.83 10.00  7.61 225  999.3   9.0  10.5 999.0 99.0 99.00
2019 01 06 14 50 266  8.6 10.4  3.66 10.81  7.57 204  999.8   8.0  10.5 999.0 99.0 99.00
2019 01 06 15 50 215  7.1 11.1  3.43 10.00  7.59 243 1000.1   8.4  10.5 999.0 99.0 99.00
2019 01 06 16 50 205  6.5  7.7  3.73  9.09  7.88 273 1001.0   6.4  10.5 999.0 99.0 99.00
2019 01 06 17 50 171  2.7  4.7  3.83  9.09  7.65 276 1001.3   5.7  10.5 999.0 99.0 99.00
2019 01 06 18 50 216  6.4  7.6  3.42 11.43  7.78 185 1001.9   4.5  10.5 999.0 99.0 99.00
2019 01 06 19 50 181  0.5  2.0  3.28 10.00  7.48 205 1001.3   4.3  10.5 999.0 99.0 99.00
2019 01 06 20 50 241  3.0  4.4  3.38 10.81  7.54 207 1000.9   5.9  10.5 999.0 99.0 99.00
2019 01 06 21 50 297  7.6  9.7  3.04 10.81  7.54 178 1001.2   5.4  10.5 999.0 99.0 99.00
2019 01 06 22 50 302  5.3  6.6  2.83 10.81  7.21 193 1002.0   6.5  10.5 999.0 99.0 99.00
2019 01 06 23 50 284  7.1  8.4  2.54  9.09  7.03 253 1002.5   7.1  10.5 999.0 99.0 99.00
2019 01 07 00 50 320  3.0  4.8  2.57 10.81  7.34 193 1003.0   6.7  10.5 999.0 99.0 99.00
2019 01 07 01 50 258  7.1  9.1  2.41  8.33  7.25 293 1003.6   7.6  10.5 999.0 99.0 99.00
2019 01 07 02 50 254  7.5  9.3  2.22  8.33  6.84 287 1004.1   7.9  10.5 999.0 99.0 99.00
